config,group,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
GR_fBO4_sg0,GR,0.77,0.0,10,29,18.6109,True,,2026-07-03T22:34:49.515207
HW_fBO4_sg08,HW,0.69,0.8,10,5,124.0142,True,,2026-07-03T22:36:53.590653
GR_fBO4_sg0,GR,0.77,0.0,10,18,21.7817,True,,2026-07-03T22:37:15.379959
GR_fBO4_sg0,GR,0.77,0.0,10,17,13.8969,True,,2026-07-03T22:37:29.283630
SW_fBO4_sg0,SW,0.54,0.0,10,14,19.2654,True,,2026-07-03T22:37:48.553837
GR_fBO4_sg0,GR,0.77,0.0,10,9,18.7864,True,,2026-07-03T22:38:07.348676
SW_fBO4_sg15,SW,0.54,1.5,10,3,26.3027,True,,2026-07-03T22:38:33.657011
SW_fBO4_sg15,SW,0.54,1.5,10,23,24.2801,True,,2026-07-03T22:38:57.952760
SW_fBO4_sg08,SW,0.54,0.8,10,5,41.7035,True,,2026-07-03T22:39:39.667434
SW_fBO4_sg15,SW,0.54,1.5,10,30,22.9954,True,,2026-07-03T22:40:02.673779
GR_fBO4_sg15,GR,0.77,1.5,10,16,33.25,True,,2026-07-03T22:40:35.967510
SW_fBO4_sg08,SW,0.54,0.8,10,14,26.0321,True,,2026-07-03T22:41:02.021045
SW_fBO4_sg08,SW,0.54,0.8,10,19,27.9933,True,,2026-07-03T22:41:30.035027
HW_fBO4_sg08,HW,0.69,0.8,10,18,119.0571,True,,2026-07-03T22:43:29.158034
HW_fBO4_sg08,HW,0.69,0.8,10,13,86.581,True,,2026-07-03T22:44:55.812497
SW_fBO4_sg15,SW,0.54,1.5,10,19,36.3757,True,,2026-07-03T22:45:32.194289
GR_fBO4_sg08,GR,0.77,0.8,10,18,47.3484,True,,2026-07-03T22:46:19.578056
GR_fBO4_sg08,GR,0.77,0.8,10,16,46.984,True,,2026-07-03T22:47:06.586638
GR_fBO4_sg15,GR,0.77,1.5,10,19,31.52,True,,2026-07-03T22:47:38.135025
SW_fBO4_sg0,SW,0.54,0.0,10,10,31.8829,True,,2026-07-03T22:48:10.026409
HW_fBO4_sg0,HW,0.69,0.0,10,19,40.7221,True,,2026-07-03T22:48:50.795035
GR_fBO4_sg08,GR,0.77,0.8,10,12,59.3166,True,,2026-07-03T22:49:50.149832
SW_fBO4_sg15,SW,0.54,1.5,10,5,21.3241,True,,2026-07-03T22:50:11.486108
SW_fBO4_sg08,SW,0.54,0.8,10,10,29.7338,True,,2026-07-03T22:50:41.231982
HW_fBO4_sg15,HW,0.69,1.5,10,29,76.5901,True,,2026-07-03T22:51:57.902713
SW_fBO4_sg0,SW,0.54,0.0,10,4,31.1586,True,,2026-07-03T22:52:29.074001
GR_fBO4_sg15,GR,0.77,1.5,10,8,40.9928,True,,2026-07-03T22:53:10.114391
SW_fBO4_sg0,SW,0.54,0.0,10,29,22.1814,True,,2026-07-03T22:53:32.304376
SW_fBO4_sg0,SW,0.54,0.0,10,3,20.6852,True,,2026-07-03T22:53:52.999151
HW_fBO4_sg08,HW,0.69,0.8,10,8,103.2417,True,,2026-07-03T22:55:36.315499
GR_fBO4_sg0,GR,0.77,0.0,10,3,17.4632,True,,2026-07-03T22:55:53.796628
SW_fBO4_sg15,SW,0.54,1.5,10,13,46.916,True,,2026-07-03T22:56:40.727196
HW_fBO4_sg0,HW,0.69,0.0,10,23,35.5154,True,,2026-07-03T22:57:16.277653
HW_fBO4_sg15,HW,0.69,1.5,10,14,74.4835,True,,2026-07-03T22:58:30.819949
GR_fBO4_sg0,GR,0.77,0.0,10,5,17.6295,True,,2026-07-03T22:58:48.462506
SW_fBO4_sg0,SW,0.54,0.0,10,12,25.8721,True,,2026-07-03T22:59:14.344501
SW_fBO4_sg08,SW,0.54,0.8,10,28,30.1214,True,,2026-07-03T22:59:44.486009
