config,fbo4_source,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
GR_fBO4_sg0,GR,0.77,0.0,10,12,64.2727,True,,2026-04-01T16:58:27.724471
GR_fBO4_sg08,GR,0.77,0.8,10,11,182.6214,True,,2026-04-01T16:58:43.384092
HW_fBO4_sg08,HW,0.69,0.8,10,23,338.8332,True,,2026-04-01T16:59:10.240167
GR_fBO4_sg08,GR,0.77,0.8,10,24,154.3183,True,,2026-04-01T16:59:13.009231
HW_fBO4_sg08,HW,0.69,0.8,10,30,332.4552,True,,2026-04-01T16:59:40.452070
GR_fBO4_sg08,GR,0.77,0.8,10,3,147.8712,True,,2026-04-01T16:59:51.498200
SW_fBO4_sg15,SW,0.54,1.5,10,5,71.5326,True,,2026-04-01T16:59:54.939486
GR_fBO4_sg08,GR,0.77,0.8,10,30,157.3155,True,,2026-04-01T16:59:59.887661
GR_fBO4_sg15,GR,0.77,1.5,10,13,99.2651,True,,2026-04-01T17:00:49.566609
SW_fBO4_sg15,SW,0.54,1.5,10,7,77.9839,True,,2026-04-01T17:00:58.463630
SW_fBO4_sg08,SW,0.54,0.8,10,1,88.3332,True,,2026-04-01T17:01:19.877823
HW_fBO4_sg15,HW,0.69,1.5,10,10,215.4329,True,,2026-04-01T17:02:03.809035
SW_fBO4_sg15,SW,0.54,1.5,10,9,81.5916,True,,2026-04-01T17:02:11.195526
HW_fBO4_sg08,HW,0.69,0.8,10,3,300.1695,True,,2026-04-01T17:02:22.871168
SW_fBO4_sg08,SW,0.54,0.8,10,30,81.1052,True,,2026-04-01T17:02:41.028779
HW_fBO4_sg0,HW,0.69,0.0,10,15,118.482,True,,2026-04-01T17:04:02.384094
GR_fBO4_sg15,GR,0.77,1.5,10,10,88.8061,True,,2026-04-01T17:04:09.899397
GR_fBO4_sg08,GR,0.77,0.8,10,16,125.1448,True,,2026-04-01T17:04:10.309364
GR_fBO4_sg0,GR,0.77,0.0,10,4,2.3373,False,"log4j:ERROR Could not parse file [resources/log4j.xml].
java.io.FileNotFoundException: /media/aldo/Aldo/sims/Lignin_DB_Natural_Evol_2/workers/worker_7/resources/log4j.xml (No such file or directory)
	",2026-04-01T17:04:12.248564
HW_fBO4_sg08,HW,0.69,0.8,10,21,308.4234,True,,2026-04-01T17:04:21.570852
HW_fBO4_sg0,HW,0.69,0.0,10,13,129.9152,True,,2026-04-01T17:04:34.759702
HW_fBO4_sg08,HW,0.69,0.8,10,16,296.2494,True,,2026-04-01T17:04:56.161025
GR_fBO4_sg0,GR,0.77,0.0,10,5,46.0194,True,,2026-04-01T17:05:07.618622
GR_fBO4_sg15,GR,0.77,1.5,10,1,95.3417,True,,2026-04-01T17:05:45.750192
GR_fBO4_sg08,GR,0.77,0.8,10,7,122.6196,True,,2026-04-01T17:06:14.952858
SW_fBO4_sg08,SW,0.54,0.8,10,4,94.6514,True,,2026-04-01T17:06:30.861396
HW_fBO4_sg15,HW,0.69,1.5,10,4,241.6719,True,,2026-04-01T17:06:57.710851
HW_fBO4_sg15,HW,0.69,1.5,10,11,217.0184,True,,2026-04-01T17:07:39.548793
GR_fBO4_sg0,GR,0.77,0.0,10,19,49.032,True,,2026-04-01T17:08:28.618994
SW_fBO4_sg0,SW,0.54,0.0,10,10,286.4624,True,,2026-04-01T17:09:21.072989
HW_fBO4_sg15,HW,0.69,1.5,10,5,208.9062,True,,2026-04-01T17:09:23.145691
HW_fBO4_sg15,HW,0.69,1.5,10,6,197.3667,True,,2026-04-01T17:09:32.530956
HW_fBO4_sg08,HW,0.69,0.8,10,12,298.9529,True,,2026-04-01T17:09:33.754311
HW_fBO4_sg15,HW,0.69,1.5,10,18,187.8341,True,,2026-04-01T17:10:05.609806
SW_fBO4_sg0,SW,0.54,0.0,10,8,69.4561,True,,2026-04-01T17:10:30.552047
SW_fBO4_sg0,SW,0.54,0.0,10,30,63.2582,True,,2026-04-01T17:10:35.837491
SW_fBO4_sg15,SW,0.54,1.5,10,14,73.9344,True,,2026-04-01T17:10:47.777432
GR_fBO4_sg0,GR,0.77,0.0,10,8,45.7585,True,,2026-04-01T17:10:51.386876
HW_fBO4_sg08,HW,0.69,0.8,10,11,313.6855,True,,2026-04-01T17:10:59.714383
GR_fBO4_sg15,GR,0.77,1.5,10,3,102.8949,True,,2026-04-01T17:11:06.116274
HW_fBO4_sg08,HW,0.69,0.8,10,29,292.642,True,,2026-04-01T17:11:23.786887
SW_fBO4_sg15,SW,0.54,1.5,10,22,73.7692,True,,2026-04-01T17:11:44.362501
SW_fBO4_sg0,SW,0.54,0.0,10,1,64.513,True,,2026-04-01T17:11:56.064319
HW_fBO4_sg15,HW,0.69,1.5,10,25,210.5472,True,,2026-04-01T17:11:59.181082
HW_fBO4_sg0,HW,0.69,0.0,10,11,121.6747,True,,2026-04-01T17:12:49.509607
